Time,TraceSource,NodeId,MsgType,TxRemaining,PacketHex,PacketLength
93.311164121,USMsgRx,948,2,0,bcfeffffffffffff0000,10
93.658789385,USMsgRx,46,2,0,bbfeffffffffffff0000,10
94.171517651,USMsgRx,626,2,0,bafeffffffffffff0000,10
94.720162220,USMsgRx,289,2,0,b8feffffffffffff0000,10
94.863739055,USMsgRx,420,2,0,b7feffffffffffff0000,10
95.363431464,USMsgRx,433,2,0,b4feffffffffffff0000,10
95.386977099,USMsgRx,929,2,0,b3feffffffffffff0000,10
95.530577040,USMsgRx,888,2,0,b9feffffffffffff0000,10
95.580347271,USMsgRx,919,2,0,b6feffffffffffff0000,10
95.644629157,USMsgRx,891,2,0,b2feffffffffffff0000,10
95.738254620,USMsgRx,901,2,0,b1feffffffffffff0000,10
95.826907544,USMsgRx,78,2,0,b0feffffffffffff0000,10
96.035357452,USMsgRx,861,2,0,affeffffffffffff0000,10
96.188228823,USMsgRx,686,2,0,adfeffffffffffff0000,10
96.330152736,USMsgRx,33,2,0,acfeffffffffffff0000,10
96.750291893,USMsgRx,563,2,0,aefeffffffffffff0000,10
97.261136808,USMsgRx,855,2,0,abfeffffffffffff0000,10
97.408515160,USMsgRx,896,2,0,aafeffffffffffff0000,10
99.117796072,USMsgRx,324,2,0,a9feffffffffffff0000,10
100.615191331,USMsgRx,274,2,0,a8feffffffffffff0000,10
100.782649749,USMsgRx,246,2,0,a6feffffffffffff0000,10
101.005146074,USMsgRx,556,2,0,a4feffffffffffff0000,10
101.050029318,USMsgRx,284,2,0,a5feffffffffffff0000,10
101.285787843,USMsgRx,816,2,0,a3feffffffffffff0000,10
101.378265328,USMsgRx,331,2,0,a2feffffffffffff0000,10
101.643952165,USMsgRx,606,2,0,a1feffffffffffff0000,10
101.779781245,USMsgRx,879,2,0,a0feffffffffffff0000,10
102.215990145,USMsgRx,258,2,0,9ffeffffffffffff0000,10
102.526116544,USMsgRx,281,2,0,9efeffffffffffff0000,10
102.601511395,USMsgRx,914,2,0,9dfeffffffffffff0000,10
102.900593758,USMsgRx,752,2,0,9cfeffffffffffff0000,10
103.108335162,USMsgRx,822,2,0,9bfeffffffffffff0000,10
103.174091124,USMsgRx,379,2,0,9afeffffffffffff0000,10
103.367316803,USMsgRx,800,2,0,99feffffffffffff0000,10
103.596864934,USMsgRx,864,2,0,98feffffffffffff0000,10
103.825892608,USMsgRx,978,2,0,97feffffffffffff0000,10
104.679195849,USMsgRx,43,2,0,96feffffffffffff0000,10
105.825019832,USMsgRx,35,2,0,95feffffffffffff0000,10
106.120886749,USMsgRx,313,2,0,92feffffffffffff0000,10
106.368101292,USMsgRx,231,2,0,93feffffffffffff0000,10
106.618432406,USMsgRx,445,2,0,91feffffffffffff0000,10
107.077777919,USMsgRx,415,2,0,90feffffffffffff0000,10
107.175634627,USMsgRx,76,2,0,8ffeffffffffffff0000,10
107.180719989,USMsgRx,488,2,0,8efeffffffffffff0000,10
107.489433364,USMsgRx,72,2,0,8dfeffffffffffff0000,10
107.913813323,USMsgRx,180,2,0,8cfeffffffffffff0000,10
108.398042616,USMsgRx,467,2,0,8afeffffffffffff0000,10
108.594675160,USMsgRx,937,2,0,8bfeffffffffffff0000,10
108.637491114,USMsgRx,416,2,0,87feffffffffffff0000,10
108.662185987,USMsgRx,65,2,0,88feffffffffffff0000,10
108.685715899,USMsgRx,617,2,0,89feffffffffffff0000,10
109.554755451,USMsgRx,894,2,0,86feffffffffffff0000,10
109.601498060,USMsgRx,976,2,0,85feffffffffffff0000,10
109.811122036,USMsgRx,114,2,0,84feffffffffffff0000,10
110.299158980,USMsgRx,355,2,0,83feffffffffffff0000,10
110.482019317,USMsgRx,990,2,0,81feffffffffffff0000,10
110.604158902,USMsgRx,701,2,0,82feffffffffffff0000,10
110.679236712,USMsgRx,317,2,0,80feffffffffffff0000,10
111.308522459,USMsgRx,354,2,0,7efeffffffffffff0000,10
111.416909173,USMsgRx,745,2,0,7dfeffffffffffff0000,10
111.432762835,USMsgRx,148,2,0,7ffeffffffffffff0000,10
111.552714406,USMsgRx,743,2,0,7bfeffffffffffff0000,10
111.850241542,USMsgRx,903,2,0,7afeffffffffffff0000,10
112.064125170,USMsgRx,621,2,0,79feffffffffffff0000,10
112.288283005,USMsgRx,927,2,0,7cfeffffffffffff0000,10
113.004926629,USMsgRx,836,2,0,76feffffffffffff0000,10
113.240267562,USMsgRx,956,2,0,75feffffffffffff0000,10
113.630634908,USMsgRx,781,2,0,74feffffffffffff0000,10
113.912242082,USMsgRx,295,2,0,73feffffffffffff0000,10
114.121144774,USMsgRx,958,2,0,72feffffffffffff0000,10
114.602673328,USMsgRx,585,2,0,71feffffffffffff0000,10
114.851535813,USMsgRx,290,2,0,70feffffffffffff0000,10
115.265906651,USMsgRx,377,2,0,6ffeffffffffffff0000,10
115.530125637,USMsgRx,821,2,0,6efeffffffffffff0000,10
115.720394425,USMsgRx,859,2,0,6dfeffffffffffff0000,10
115.934755605,USMsgRx,270,2,0,6cfeffffffffffff0000,10
116.204381961,USMsgRx,423,2,0,6afeffffffffffff0000,10
116.278834943,USMsgRx,302,2,0,6bfeffffffffffff0000,10
116.440857606,USMsgRx,244,2,0,69feffffffffffff0000,10
116.703801576,USMsgRx,286,2,0,68feffffffffffff0000,10
117.894769258,USMsgRx,361,2,0,67feffffffffffff0000,10
118.293297127,USMsgRx,635,2,0,63feffffffffffff0000,10
118.913701240,USMsgRx,24,2,0,62feffffffffffff0000,10
119.485919497,USMsgRx,279,2,0,61feffffffffffff0000,10
119.874540649,USMsgRx,188,2,0,5ffeffffffffffff0000,10
120.080580204,USMsgRx,559,2,0,5efeffffffffffff0000,10
120.124903851,USMsgRx,610,2,0,60feffffffffffff0000,10
120.530837846,USMsgRx,320,2,0,5cfeffffffffffff0000,10
121.043960955,USMsgRx,87,2,0,5dfeffffffffffff0000,10
121.384170879,USMsgRx,60,2,0,5afeffffffffffff0000,10
121.498541388,USMsgRx,967,2,0,58feffffffffffff0000,10
121.515862515,USMsgRx,115,2,0,59feffffffffffff0000,10
122.414598917,USMsgRx,84,2,0,56feffffffffffff0000,10
122.781937149,USMsgRx,480,2,0,55feffffffffffff0000,10
123.034491076,USMsgRx,127,2,0,54feffffffffffff0000,10
123.353566275,USMsgRx,516,2,0,52feffffffffffff0000,10
123.562368206,USMsgRx,224,2,0,53feffffffffffff0000,10
123.595036531,USMsgRx,7,2,0,51feffffffffffff0000,10
123.670376605,USMsgRx,56,2,0,50feffffffffffff0000,10
124.228054188,USMsgRx,757,2,0,4ffeffffffffffff0000,10
124.389405571,USMsgRx,884,2,0,4efeffffffffffff0000,10
124.762062084,USMsgRx,553,2,0,4cfeffffffffffff0000,10
124.797553221,USMsgRx,80,2,0,4bfeffffffffffff0000,10
124.923638556,USMsgRx,277,2,0,4dfeffffffffffff0000,10
125.796206990,USMsgRx,381,2,0,4afeffffffffffff0000,10
127.116484630,USMsgRx,86,2,0,49feffffffffffff0000,10
127.353119555,USMsgRx,657,2,0,47feffffffffffff0000,10
127.577669155,USMsgRx,939,2,0,48feffffffffffff0000,10
127.831966253,USMsgRx,195,2,0,46feffffffffffff0000,10
128.206037321,USMsgRx,301,2,0,45feffffffffffff0000,10
128.845180869,USMsgRx,263,2,0,44feffffffffffff0000,10
129.188331549,USMsgRx,99,2,0,43feffffffffffff0000,10
129.304005331,USMsgRx,630,2,0,42feffffffffffff0000,10
129.756622842,USMsgRx,726,2,0,40feffffffffffff0000,10
130.091184781,USMsgRx,627,2,0,3ffeffffffffffff0000,10
130.215260101,USMsgRx,486,2,0,41feffffffffffff0000,10
130.318083663,USMsgRx,670,2,0,3efeffffffffffff0000,10
131.303337299,USMsgRx,941,2,0,3cfeffffffffffff0000,10
132.151714641,USMsgRx,736,2,0,39feffffffffffff0000,10
132.833687511,USMsgRx,120,2,0,37feffffffffffff0000,10
132.930539745,USMsgRx,713,2,0,36feffffffffffff0000,10
133.124920050,USMsgRx,833,2,0,38feffffffffffff0000,10
133.128013529,USMsgRx,985,2,0,35feffffffffffff0000,10
133.151559682,USMsgRx,722,2,0,33feffffffffffff0000,10
133.390607262,USMsgRx,18,2,0,32feffffffffffff0000,10
133.924235804,USMsgRx,848,2,0,31feffffffffffff0000,10
134.028620207,USMsgRx,121,2,0,2ffeffffffffffff0000,10
134.168356749,USMsgRx,40,2,0,30feffffffffffff0000,10
135.113923574,USMsgRx,979,2,0,2efeffffffffffff0000,10
135.491179364,USMsgRx,871,2,0,2dfeffffffffffff0000,10
135.596349160,USMsgRx,136,2,0,2cfeffffffffffff0000,10
135.684075568,USMsgRx,824,2,0,2bfeffffffffffff0000,10
135.949272871,USMsgRx,968,2,0,2afeffffffffffff0000,10
136.244959122,USMsgRx,818,2,0,29feffffffffffff0000,10
